iter	Passed	Remaining
447	1131	1393
448	1134	1391
449	1136	1389
450	1138	1386
451	1141	1383
452	1144	1381
453	1146	1379
454	1150	1377
455	1152	1375
456	1154	1372
457	1156	1369
458	1159	1366
459	1161	1364
460	1165	1362
461	1167	1360
462	1170	1357
463	1173	1355
464	1176	1353
465	1179	1351
466	1181	1348
467	1183	1345
468	1186	1343
469	1188	1340
470	1191	1338
471	1194	1336
472	1196	1333
473	1199	1331
474	1201	1328
475	1204	1325
476	1207	1324
477	1210	1321
478	1212	1319
479	1215	1316
480	1218	1314
481	1221	1312
482	1223	1309
483	1226	1307
484	1229	1305
485	1231	1302
486	1233	1299
487	1238	1299
488	1241	1297
489	1243	1294
490	1246	1291
491	1248	1288
492	1251	1286
493	1254	1285
494	1257	1282
495	1259	1280
496	1262	1277
497	1265	1275
498	1268	1273
499	1271	1271
500	1273	1268
501	1275	1265
502	1278	1263
503	1282	1261
504	1285	1259
505	1287	1257
506	1289	1254
507	1292	1251
508	1295	1249
509	1299	1248
510	1302	1246
511	1304	1243
512	1307	1241
513	1310	1238
514	1313	1236
515	1315	1234
516	1318	1231
517	1321	1229
518	1323	1226
519	1327	1225
520	1329	1222
521	1331	1219
522	1334	1217
523	1337	1215
524	1340	1212
525	1344	1211
526	1347	1209
527	1350	1207
528	1353	1205
529	1357	1203
530	1359	1201
531	1362	1198
532	1364	1195
533	1367	1193
534	1370	1191
535	1374	1189
536	1376	1186
537	1378	1184
538	1380	1181
539	1383	1178
540	1387	1177
541	1390	1174
542	1392	1172
543	1395	1169
544	1397	1166
545	1400	1164
546	1404	1163
547	1407	1161
548	1410	1158
549	1413	1156
550	1416	1153
551	1420	1152
552	1422	1150
553	1425	1147
554	1428	1145
555	1431	1143
556	1434	1141
557	1437	1138
558	1440	1136
559	1443	1133
560	1446	1131
561	1450	1130
562	1453	1128
563	1456	1125
564	1458	1123
565	1461	1120
566	1465	1119
567	1468	1116
568	1470	1114
569	1473	1111
570	1476	1109
571	1479	1107
572	1482	1104
573	1484	1101
574	1487	1099
575	1490	1097
576	1494	1095
577	1496	1092
578	1499	1090
579	1501	1087
580	1504	1084
581	1508	1083
582	1511	1080
583	1513	1078
584	1516	1075
585	1519	1073
586	1523	1072
587	1526	1069
588	1529	1067
589	1532	1065
590	1535	1062
591	1538	1060
592	1541	1057
593	1543	1054
594	1545	1051
595	1547	1049
596	1549	1046
597	1553	1044
598	1556	1041
599	1557	1038
600	1560	1035
601	1562	1033
602	1565	1030
603	1567	1027
604	1569	1024
605	1572	1022
606	1574	1019
607	1577	1016
608	1579	1013
609	1581	1011
610	1584	1008
611	1586	1005
612	1588	1003
613	1591	1000
614	1593	997
615	1595	994
616	1598	992
617	1600	989
618	1602	986
619	1604	983
620	1607	980
621	1609	978
622	1612	975
623	1614	973
624	1617	970
625	1619	967
626	1621	964
627	1623	961
628	1626	959
629	1628	956
630	1630	953
631	1632	950
632	1635	948
633	1638	945
634	1642	944
635	1645	941
636	1648	939
637	1651	937
638	1653	934
639	1656	931
640	1660	929
641	1662	927
642	1664	924
643	1667	921
644	1670	919
645	1674	917
646	1677	915
647	1680	912
648	1682	910
649	1685	907
650	1689	905
651	1691	902
652	1694	900
653	1696	897
654	1699	895
655	1703	893
656	1706	891
657	1709	888
658	1711	885
659	1714	883
660	1717	880
661	1720	878
662	1722	875
663	1725	873
664	1728	870
665	1731	868
666	1734	865
667	1736	863
668	1738	860
669	1740	857
670	1743	854
671	1745	852
672	1748	849
673	1751	847
674	1753	844
675	1756	841
676	1759	839
677	1761	836
678	1764	834
679	1766	831
680	1769	828
681	1771	826
682	1774	823
683	1778	821
684	1780	818
685	1782	816
686	1785	813
687	1788	810
688	1790	808
689	1793	805
690	1796	803
691	1799	800
692	1802	798
693	1805	796
694	1808	793
695	1811	791
696	1813	788
697	1816	786
698	1819	783
699	1822	781
700	1825	778
701	1828	776
702	1831	773
703	1834	771
704	1836	768
705	1839	766
706	1841	763
707	1844	760
708	1846	757
709	1848	755
710	1851	752
711	1854	750
712	1856	747
713	1859	744
714	1861	742
715	1863	739
716	1866	736
717	1869	734
718	1872	731
719	1874	728
720	1876	726
721	1878	723
722	1880	720
723	1883	718
724	1886	715
725	1888	712
726	1890	709
727	1892	707
728	1894	704
729	1897	701
730	1900	699
731	1902	696
732	1904	693
733	1907	691
734	1909	688
735	1911	685
736	1915	683
737	1917	680
738	1919	678
739	1922	675
740	1924	672
741	1927	670
742	1930	667
743	1933	665
744	1935	662
745	1937	659
746	1940	657
747	1943	654
748	1945	651
749	1947	649
750	1949	646
751	1951	643
752	1954	641
753	1957	638
754	1959	635
755	1961	633
756	1964	630
757	1966	627
758	1969	625
759	1973	623
760	1975	620
761	1977	617
762	1980	615
763	1983	612
764	1985	609
765	1989	607
766	1992	605
767	1995	602
768	1997	600
769	2000	597
770	2003	595
771	2006	592
772	2009	590
773	2011	587
774	2013	584
775	2016	582
776	2020	579
777	2022	577
778	2024	574
779	2027	571
780	2029	569
781	2032	566
782	2034	563
783	2037	561
784	2039	558
785	2041	555
786	2044	553
787	2047	550
788	2051	548
789	2053	545
790	2055	543
791	2058	540
792	2060	537
793	2063	535
794	2065	532
795	2067	529
796	2070	527
797	2072	524
798	2075	522
799	2078	519
800	2081	517
801	2083	514
802	2086	511
803	2088	509
804	2091	506
805	2094	504
806	2096	501
807	2098	498
808	2101	496
809	2103	493
810	2106	490
811	2108	488
812	2111	485
813	2113	483
814	2115	480
815	2118	477
816	2120	475
817	2123	472
818	2126	469
819	2128	467
820	2131	464
821	2133	462
822	2137	459
823	2139	456
824	2141	454
825	2144	451
826	2146	449
827	2148	446
828	2151	443
829	2153	441
830	2155	438
831	2158	435
832	2161	433
833	2163	430
834	2166	428
835	2168	425
836	2171	422
837	2174	420
838	2176	417
839	2179	415
840	2182	412
841	2184	409
842	2186	407
843	2188	404
844	2190	401
845	2193	399
846	2196	396
847	2199	394
848	2201	391
849	2203	388
850	2206	386
851	2208	383
852	2211	381
853	2214	378
854	2216	375
855	2218	373
856	2221	370
857	2223	368
858	2226	365
859	2228	362
860	2230	360
861	2233	357
862	2235	354
863	2237	352
864	2239	349
865	2242	346
866	2244	344
867	2246	341
868	2248	338
869	2250	336
870	2252	333
871	2254	330
872	2257	328
873	2259	325
874	2261	323
875	2264	320
876	2266	317
877	2268	315
878	2271	312
879	2273	310
880	2276	307
881	2279	304
882	2281	302
883	2284	299
884	2287	297
885	2290	294
886	2292	292
887	2294	289
888	2297	286
889	2299	284
890	2302	281
891	2304	279
892	2306	276
893	2309	273
894	2312	271
895	2314	268
896	2317	266
897	2319	263
898	2322	260
899	2324	258
900	2327	255
901	2329	253
902	2332	250
903	2334	247
904	2337	245
905	2339	242
906	2342	240
907	2344	237
908	2348	235
909	2350	232
910	2353	229
911	2355	227
912	2358	224
913	2361	222
914	2364	219
915	2366	217
916	2369	214
917	2371	211
918	2373	209
919	2376	206
920	2379	204
921	2381	201
922	2384	198
923	2386	196
924	2389	193
925	2394	191
926	2397	188
927	2400	186
928	2402	183
929	2405	181
930	2408	178
931	2411	175
932	2413	173
933	2416	170
934	2419	168
935	2421	165
936	2425	163
937	2427	160
938	2429	157
939	2432	155
940	2434	152
941	2438	150
942	2440	147
943	2443	144
944	2446	142
945	2448	139
946	2452	137
947	2454	134
948	2457	132
949	2459	129
950	2462	126
951	2464	124
952	2468	121
953	2470	119
954	2473	116
955	2476	113
956	2478	111
957	2480	108
958	2484	106
959	2486	103
960	2489	101
961	2492	98
962	2494	95
963	2497	93
964	2500	90
965	2503	88
966	2505	85
967	2508	82
968	2511	80
969	2515	77
970	2517	75
971	2520	72
972	2523	70
973	2526	67
974	2530	64
975	2533	62
976	2536	59
977	2538	57
978	2541	54
979	2545	51
980	2548	49
981	2550	46
982	2553	44
983	2556	41
984	2559	38
985	2562	36
986	2564	33
987	2567	31
988	2570	28
989	2573	25
990	2576	23
991	2579	20
992	2582	18
993	2585	15
994	2588	13
995	2591	10
996	2594	7
997	2596	5
998	2599	2
999	2601	0
